label,epoch,node,alloc_m,requested_m,used_m,free_m,pods
nimbus,1784223033.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,265,13985,8
nimbus,1784223033.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,666,13885,10
nimbus,1784223033.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,463,13695,8
nimbus,1784223035.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,699,14985,7
nimbus,1784223035.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,240,13885,10
nimbus,1784223035.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,698,13695,8
nimbus,1784223037.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,699,14985,7
nimbus,1784223037.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,240,13885,10
nimbus,1784223037.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,698,13695,8
nimbus,1784223039.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,699,14985,7
nimbus,1784223039.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,240,13885,10
nimbus,1784223039.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,698,13695,8
nimbus,1784223041.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,699,13985,8
nimbus,1784223041.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,240,13885,10
nimbus,1784223041.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,698,13695,8
nimbus,1784223043.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,699,13985,8
nimbus,1784223043.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,240,13885,10
nimbus,1784223043.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,698,13695,8
nimbus,1784223045.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,699,13985,8
nimbus,1784223045.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,240,13885,10
nimbus,1784223045.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,698,14695,7
nimbus,1784223047.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,699,13985,8
nimbus,1784223047.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,240,13885,10
nimbus,1784223047.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,698,14695,7
nimbus,1784223049.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,318,13985,8
nimbus,1784223049.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,632,13885,10
nimbus,1784223049.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,541,14695,7
nimbus,1784223051.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,318,13985,8
nimbus,1784223051.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,632,13885,10
